PtID,East,North,Height,Code,Attribut1
1,27.35400390625,38.364990234375,1,Layer,TE23.A1
2,27.352783203125,38.35693359375,1,Layer,TE23.A1
3,27.3583984375,38.35107421875,1,Layer,TE23.A1
4,27.36865234375,38.351806640625,1,Layer,TE23.A1
5,27.371826171875,38.357666015625,1,Layer,TE23.A1
6,27.37060546875,38.36474609375,1,Layer,TE23.A1
7,27.36181640625,38.368408203125,1,Layer,TE23.A1
8,27.35400390625,38.364990234375,1,Layer,TE23.A1
9,27.362060546875,38.359375,1,Find,TE23.A1.100
10,27.43701171875,38.3583984375,1,Find,TE23.A1.101
11,27.39404296875,38.325439453125,1,Find,TE23.A1.102
12,27.368408203125,38.308349609375,1,Find,TE23.A1.103
13,27.36279296875,38.312744140625,1,Find,TE23.A1.103
14,27.377197265625,38.303955078125,1,Find,TE23.A1.103
15,27.38671875,38.3017578125,1,Find,TE23.A1.103
16,27.39794921875,38.2998046875,1,Find,TE23.A1.103
17,27.434814453125,38.305908203125,1,Find,TE23.A1.104
18,27.406005859375,38.299560546875,1,Find,TE23.A1.104
19,27.4140625,38.300048828125,1,Find,TE23.A1.104
20,27.42333984375,38.3017578125,1,Find,TE23.A1.104
21,27.4287109375,38.30322265625,1,Find,TE23.A1.104
22,27.443115234375,38.30859375,1,Find,TE23.A1.104
23,27.322509765625,38.264892578125,1,Find,TE23.A1.105
24,27.502197265625,38.26025390625,1,Find,TE23.A1.106
25,27.43017578125,38.364013671875,1,Layer,TE23.A2
26,27.4271240234375,38.358642578125,1,Layer,TE23.A2
27,27.4300537109375,38.3521728515625,1,Layer,TE23.A2
28,27.435546875,38.349609375,1,Layer,TE23.A2
29,27.44140625,38.35205078125,1,Layer,TE23.A2
30,27.44482421875,38.3572998046875,1,Layer,TE23.A2
31,27.44287109375,38.3643798828125,1,Layer,TE23.A2
32,27.4354248046875,38.366943359375,1,Layer,TE23.A2
33,27.43017578125,38.364013671875,1,Layer,TE23.A2
34,27.37158203125,38.255859375,1,Profile,TE23.A2.Z1
35,27.30973758463847,38.275390625,1,Profile,TE23.A2.Z1
36,27.344482421875,38.36181640625,1,Profile,TE23.A2.Z3
37,27.3516845703125,38.36859130859375,1,Profile,TE23.A2.Z3
38,27.36322021484375,38.3741455078125,1,Profile,TE23.A2.Z3
39,27.376220703125,38.370849609375,1,Profile,TE23.A2.Z3
40,27.34521484375,38.333251953125,1,Profile,TE23.A2.Z2
41,27.359375,38.30712890625,1,Profile,TE23.A2.Z2
42,27.384033203125,38.298583984375,1,Profile,TE23.A2.Z2
43,27.404052734375,38.29443359375,1,Profile,TE23.A2.Z2
44,27.425537109375,38.298583984375,1,Profile,TE23.A2.Z2
45,27.445556640625,38.306884765625,1,Profile,TE23.A2.Z2
46,27.45556640625,38.32421875,1,Profile,TE23.A2.Z2
47,27.448974609375,38.3687744140625,1,Profile,TE23.A2.Z3
48,27.4384765625,38.372802734375,1,Profile,TE23.A2.Z3
49,27.42333984375,38.3719482421875,1,Profile,TE23.A2.Z3
50,27.39501953125,38.341552734375,1,Layer,TE23.A3
